transaction_id,timestamp,amount,currency,merchant_category,is_fraud,customer_segment,credit_score
0,2025-07-13T06:38:00,895.24,USD,food,0,basic,692
1,2025-09-22T22:34:00,450.55,GBP,entertainment,0,standard,682
2,2025-07-28T21:13:00,762.65,GBP,food,0,basic,384
3,2025-12-17T21:49:00,440.38,EUR,entertainment,0,premium,735
4,2025-04-12T17:05:00,2311.24,USD,utilities,0,premium,666
5,2025-03-07T22:10:00,3737.92,EUR,utilities,0,standard,815
6,2025-11-06T01:07:00,117.98,EUR,healthcare,0,premium,735
7,2025-11-03T04:19:00,3087.53,EUR,travel,0,student,505
8,2025-01-21T06:28:00,1289.0,EUR,education,0,basic,787
9,2025-01-05T23:55:00,3592.24,GBP,food,0,student,427
10,2025-02-04T04:18:00,871.91,USD,entertainment,0,standard,626
11,2025-08-26T07:54:00,1289.11,EUR,food,0,basic,311
12,2025-10-27T01:21:00,1082.79,EUR,travel,0,student,695
13,2025-07-27T11:34:00,464.68,USD,travel,0,student,754
14,2025-04-10T20:14:00,3267.34,EUR,retail,0,basic,523
15,2025-12-22T22:15:00,1918.7,EUR,education,0,student,731
16,2025-05-03T16:18:00,4536.17,EUR,education,0,standard,562
17,2025-07-10T13:42:00,4131.86,USD,travel,0,student,499
18,2025-07-11T06:22:00,23.05,EUR,healthcare,0,standard,475
19,2025-11-09T21:26:00,3715.47,GBP,food,0,basic,709
20,2025-01-04T16:34:00,1013.69,GBP,travel,0,standard,823
21,2025-08-07T08:47:00,4257.48,EUR,entertainment,0,basic,505
22,2025-12-01T03:51:00,1538.54,GBP,retail,0,student,606
23,2025-06-18T20:45:00,2940.67,EUR,food,0,student,708
24,2025-03-09T14:21:00,643.65,USD,entertainment,0,student,728
25,2025-09-23T05:23:00,1251.96,EUR,entertainment,0,student,488
26,2025-08-19T20:56:00,4580.11,GBP,food,0,standard,770
27,2025-09-01T03:21:00,3981.63,USD,travel,0,premium,845
28,2025-05-21T00:37:00,1596.45,EUR,food,0,premium,706
29,2025-01-02T10:32:00,1150.93,EUR,food,0,premium,727
30,2025-04-26T06:07:00,2424.08,EUR,travel,0,premium,502
31,2025-09-06T22:22:00,3263.51,GBP,retail,0,premium,428
